"","SPINDEX","DIFFINDEX","LNSPINDEX","DIFFLNSP","year"
"1",14.92000008,0,2.7027026,0,"1936"
"2",14.84000015,-0.079999923,2.697326248,-0.005376352,"1936"
"3",16.01000023,1.170000076,2.773213541,0.075887293,"1936"
"4",17.18000031,1.170000076,2.843745934,0.070532393,"1936"
"5",17.92000008,0.739999771,2.885917412,0.042171477,"1937"
"6",15.39999962,-2.520000457,2.734367485,-0.151549927,"1937"
"7",13.76000023,-1.63999939,2.621765849,-0.112601636,"1937"
"8",10.55000019,-3.210000038,2.356125878,-0.265639971,"1937"
"9",8.5,-2.050000191,2.140066163,-0.216059715,"1938"
"10",11.56000042,3.06000042,2.4475509,0.307484736,"1938"
"11",12.23999977,0.679999351,2.504709258,0.057158359,"1938"
"12",13.21000004,0.970000267,2.580974121,0.076264863,"1938"
"13",10.97999954,-2.230000496,2.396075394,-0.184898727,"1939"
"14",10.85999966,-0.119999885,2.385086283,-0.010989111,"1939"
"15",13.02000046,2.160000801,2.566486672,0.181400389,"1939"
"16",12.48999977,-0.530000687,2.524928306,-0.041558366,"1939"
"17",12.25,-0.239999771,2.505525937,-0.019402369,"1940"
"18",9.979999542,-2.270000458,2.300583044,-0.204942893,"1940"
"19",10.65999985,0.680000305,2.366498404,0.06591536,"1940"
"20",10.57999992,-0.079999923,2.358965419,-0.007532985,"1940"
"21",9.960000038,-0.619999886,2.298577075,-0.060388344,"1941"
"22",9.850000382,-0.109999657,2.287471494,-0.011105582,"1941"
"23",10.19999981,0.349999428,2.322387702,0.034916208,"1941"
"24",8.68999958,-1.510000229,2.162172891,-0.160214811,"1941"
"25",8.010000229,-0.679999352,2.08069079,-0.081482101,"1942"
"26",8.300000191,0.289999962,2.116255538,0.035564748,"1942"
"27",8.850000382,0.550000191,2.180417502,0.064161964,"1942"
"28",9.770000458,0.920000076,2.279316513,0.098899011,"1942"
"29",11.57999992,1.809999466,2.449279466,0.169962953,"1943"
"30",12.35000038,0.770000457,2.513656094,0.064376628,"1943"
"31",12.07999992,-0.270000457,2.491551186,-0.022104908,"1943"
"32",11.67000008,-0.409999848,2.457021453,-0.034529733,"1943"
"33",12.02000046,0.350000382,2.486571967,0.029550514,"1944"
"34",12.97999954,0.959999084,2.563409676,0.076837709,"1944"
"35",12.77999973,-0.199999809,2.547881428,-0.015528248,"1944"
"36",13.27999973,0.5,2.586259124,0.038377696,"1944"
"37",13.64000034,0.36000061,2.613006678,0.026747554,"1945"
"38",14.96000004,1.319999695,2.705379975,0.092373298,"1945"
"39",16.15999985,1.199999809,2.782539044,0.077159069,"1945"
"40",17.36000061,1.200000763,2.854168744,0.071629701,"1945"
"41",18.07999992,0.719999314,2.894806351,0.040637606,"1946"
"42",18.43000031,0.350000381,2.913979788,0.019173437,"1946"
"43",14.96000004,-3.470000267,2.705379975,-0.208599813,"1946"
"44",15.30000019,0.340000153,2.727852841,0.022472866,"1946"
"45",15.17000008,-0.130000115,2.719319798,-0.008533043,"1947"
"46",15.21000004,0.039999962,2.721953109,0.00263331,"1947"
"47",15.10999966,-0.100000381,2.715356754,-0.006596355,"1947"
"48",15.30000019,0.190000534,2.727852841,0.012496087,"1947"
"49",15.07999992,-0.220000267,2.713369358,-0.014483483,"1948"
"50",16.73999977,1.659999847,2.817801051,0.104431694,"1948"
"51",15.48999977,-1.25,2.74019464,-0.077606412,"1948"
"52",15.19999981,-0.289999962,2.721295415,-0.018899224,"1948"
"53",15.06000042,-0.139999389,2.71204225,-0.009253165,"1949"
"54",14.15999985,-0.900000573,2.650421077,-0.061621173,"1949"
"55",15.57999992,1.420000077,2.745988036,0.095566958,"1949"
"56",16.76000023,1.180000305,2.818995109,0.073007073,"1949"
"57",17.29000092,0.530000687,2.850128353,0.031133244,"1950"
"58",17.69000053,0.399999618,2.872999538,0.022871186,"1950"
"59",19.45000076,1.760000229,2.967847109,0.094847571,"1950"
"60",20.40999985,0.959999084,3.016024969,0.04817786,"1950"
"61",21.39999962,0.989999772,3.063390904,0.047365935,"1951"
"62",20.95999908,-0.440000535,3.042615816,-0.020775088,"1951"
"63",23.26000023,2.300001145,3.146735157,0.104119341,"1951"
"64",23.77000046,0.510000229,3.168424301,0.021689144,"1951"
"65",24.37000084,0.600000381,3.193352902,0.024928601,"1952"
"66",24.95999908,0.589998245,3.217274507,0.023921605,"1952"
"67",24.54000092,-0.419998168,3.200304477,-0.01697003,"1952"
"68",26.5699997,2.029998779,3.279782748,0.079478272,"1952"
"69",25.29000092,-1.279998779,3.230409097,-0.049373651,"1953"
"70",24.13999939,-1.150001526,3.18387019,-0.046538907,"1953"
"71",23.35000038,-0.789999009,3.150597,-0.03327319,"1953"
"72",24.80999947,1.459999085,3.211246776,0.060649776,"1953"
"73",26.94000053,2.130001068,3.293612191,0.082365415,"1954"
"74",29.20999908,2.26999855,3.374511085,0.080898894,"1954"
"75",32.31000137,3.100002289,3.475376822,0.100865737,"1954"
"76",35.97999954,3.669998169,3.582963216,0.107586393,"1954"
"77",36.58000183,0.600002289,3.599501693,0.016538477,"1955"
"78",41.02999878,4.449996948,3.714303477,0.114801784,"1955"
"79",43.66999817,2.63999939,3.776661326,0.062357849,"1955"
"80",45.47999954,1.810001373,3.817272659,0.040611333,"1955"
"81",48.47999954,3,3.881151332,0.063878674,"1956"
"82",46.97000122,-1.509998321,3.849509126,-0.031642206,"1956"
"83",45.34999847,-1.620002747,3.814410143,-0.035098983,"1956"
"84",46.66999817,1.319999695,3.843101521,0.028691378,"1956"
"85",44.11000061,-2.559997559,3.786686528,-0.056414993,"1957"
"86",47.36999893,3.259998322,3.857989094,0.071302566,"1957"
"87",42.41999817,-4.950000763,3.747619906,-0.110369188,"1957"
"88",39.99000168,-2.429996491,3.688629465,-0.058990441,"1957"
"89",42.09999847,2.109996796,3.740047704,0.05141824,"1958"
"90",45.24000168,3.140003204,3.811981688,0.071933984,"1958"
"91",50.06000137,4.819999695,3.913222313,0.101240625,"1958"
"92",55.20999908,5.149997711,4.01114408,0.097921766,"1958"
"93",55.43999863,0.229999543,4.01530133,0.00415725,"1959"
"94",58.47000122,3.030002594,4.068513823,0.053212493,"1959"
"95",56.88000107,-1.590000153,4.040943804,-0.027570019,"1959"
"96",59.88999939,3.009998322,4.092509536,0.051565732,"1959"
"97",55.34000015,-4.549999237,4.013495977,-0.079013559,"1960"
"98",56.91999817,1.579998016,4.041646741,0.028150764,"1960"
"99",53.52000046,-3.399997711,3.980055424,-0.061591317,"1960"
"100",58.11000061,4.590000152,4.062337777,0.082282352,"1960"
"101",65.05999756,6.949996949,4.175309884,0.112972107,"1961"
"102",64.63999939,-0.419998169,4.168833405,-0.006476479,"1961"
"103",66.73000336,2.090003967,4.200654677,0.031821272,"1961"
"104",71.55000305,4.819999695,4.270396549,0.069741871,"1961"
"105",69.55000305,-2,4.242045962,-0.028350586,"1962"
"106",54.75,-14.80000305,4.002777369,-0.239268594,"1962"
"107",56.27000046,1.520000458,4.030161542,0.027384173,"1962"
"108",63.09999847,6.829998016,4.144720745,0.114559204,"1962"
"109",66.5699997,3.470001221,4.198254021,0.053533276,"1963"
"110",69.37000275,2.800003052,4.239454537,0.041200516,"1963"
"111",71.69999695,2.329994201,4.272490705,0.033036168,"1963"
"112",75.01999664,3.319999695,4.3177547,0.045263995,"1963"
"113",78.98000336,3.960006714,4.369194698,0.051439998,"1964"
"114",81.69000244,2.709999084,4.402931625,0.033736927,"1964"
"115",84.18000031,2.489997864,4.432957367,0.030025742,"1964"
"116",84.75,0.569999695,4.439705746,0.006748379,"1964"
"117",86.16000366,1.410003662,4.456206075,0.016500329,"1965"
"118",84.12000275,-2.040000915,4.432244383,-0.023961692,"1965"
"119",89.95999908,5.839996337,4.499365117,0.067120733,"1965"
"120",92.43000031,2.470001221,4.526451605,0.027086488,"1965"
"121",89.23000336,-3.199996948,4.491217344,-0.035234261,"1966"
"122",84.73999786,-4.490005493,4.43958772,-0.051629624,"1966"
"123",76.55999756,-8.180000305,4.338074715,-0.101513005,"1966"
"124",80.33000183,3.770004272,4.386143173,0.048068458,"1966"
"125",90.19999695,9.869995117,4.502029393,0.11588622,"1967"
"126",90.63999939,0.440002442,4.50689561,0.004866217,"1967"
"127",96.70999908,6.069999694,4.5717168,0.06482119,"1967"
"128",96.47000122,-0.239997863,4.569232092,-0.002484708,"1967"
"129",90.19999695,-6.270004273,4.502029393,-0.067202699,"1968"
"130",99.58000183,9.380004883,4.60096136,0.098931966,"1968"
"131",102.6699982,3.089996339,4.631519943,0.030558584,"1968"
"132",103.8600006,1.19000244,4.643043844,0.011523901,"1968"
"133",101.5100021,-2.34999847,4.620157337,-0.022886507,"1969"
"134",97.70999908,-3.800003056,4.582003899,-0.038153438,"1969"
"135",93.12000275,-4.589996337,4.533889013,-0.048114885,"1969"
"136",92.05999756,-1.060005188,4.522440512,-0.011448502,"1969"
"137",89.62999725,-2.430000306,4.495690055,-0.026750457,"1970"
"138",72.72000122,-16.90999603,4.286616467,-0.209073588,"1970"
"139",84.20999908,11.48999786,4.433313668,0.146697202,"1970"
"140",92.15000153,7.940002442,4.523417701,0.090104033,"1970"
"141",100.3099976,8.159996034,4.608265367,0.084847666,"1971"
"142",99.69999695,-0.610000612,4.602165646,-0.00609972,"1971"
"143",98.33999634,-1.36000061,4.588430825,-0.013734822,"1971"
"144",102.0899963,3.750000002,4.625854741,0.037423917,"1971"
"145",107.199997,5.11000061,4.67469622,0.048841479,"1972"
"146",107.1399994,-0.05999756,4.674136385,-0.000559835,"1972"
"147",110.5500031,3.41000366,4.705467935,0.03133155,"1972"
"148",118.0500031,7.5,4.771108289,0.065640354,"1972"
"149",111.5199966,-6.53000641,4.714203917,-0.056904372,"1973"
"150",104.2600021,-7.2599945,4.6468878,-0.067316117,"1973"
"151",108.4300003,4.16999817,4.686104806,0.039217006,"1973"
"152",97.55000305,-10.87999726,4.580365098,-0.105739708,"1973"
"153",93.98000336,-3.569999695,4.543082029,-0.037283069,"1974"
"154",86,-7.980003357,4.454347296,-0.088734733,"1974"
"155",63.54000092,-22.45999908,4.151669643,-0.302677653,"1974"
"156",68.55999756,5.019996643,4.227709239,0.076039595,"1974"
"157",83.36000061,14.80000305,4.423168585,0.195459347,"1975"
"158",95.19000244,11.83000183,4.55587492,0.132706335,"1975"
"159",83.87000275,-11.31999969,4.429268014,-0.126606906,"1975"
"160",90.19000244,6.319999694,4.501918583,0.072650569,"1975"
"161",102.7699966,12.5799942,4.632493449,0.130574866,"1976"
